case,rep,ms
npm-install,1,6347
npm-install,2,6364
npm-install,3,6718
pnpm-install,1,5087
pnpm-install,2,3975
pnpm-install,3,4008
yarn-install,1,5543
yarn-install,2,5192
yarn-install,3,5051
ripgrep,1,1838
ripgrep,2,88
ripgrep,3,82
find-walk,1,98
find-walk,2,92
find-walk,3,90
copy-tree,1,3626
copy-tree,2,3804
copy-tree,3,4025
rm-rf,1,2642
rm-rf,2,3662
rm-rf,3,3224
cpu-sha256,1,3023
cpu-sha256,2,3018
cpu-sha256,3,2995
container-start,1,138
container-start,2,151
container-start,3,137
watch-latency,1,46
watch-latency,2,1
watch-latency,3,2
memory-peak,1,3841
memory-after-15s,1,702
memory-after-60s,1,726
net-tcp-egress,1,90994
net-tcp-egress,2,94945
net-tcp-egress,3,88832
net-tcp-egress-r,1,83692
net-tcp-egress-r,2,86990
net-tcp-egress-r,3,83316
net-tcp-port,1,87001
net-tcp-port,2,83599
net-tcp-port,3,87104
net-tcp-port-r,1,91251
net-tcp-port-r,2,92046
net-tcp-port-r,3,94591
net-udp,1,4915
net-udp,2,5068
net-udp,3,5085
net-connect-rate,1,17205
net-connect-rate,2,17106
net-connect-rate,3,16184
net-http-p99,1,280
net-http-latency,1,70
net-http-p99,2,213
net-http-latency,2,64
net-http-p99,3,174
net-http-latency,3,62
net-dns,1,40
net-dns,2,40
net-dns,3,40
power-cpu-ms-per-s,1,3
power-wakeups-per-s,1,56
power-pkg-idle-wakeups-per-s,1,1
boot-docker,1,521
boot-first-container,1,664
boot-docker,2,517
boot-first-container,2,672
boot-docker,3,494
boot-first-container,3,653
memory-idle,1,372
