case,rep,ms
npm-install,1,6465
npm-install,2,6468
npm-install,3,6277
pnpm-install,1,4944
pnpm-install,2,3935
pnpm-install,3,3989
yarn-install,1,5225
yarn-install,2,5147
yarn-install,3,5109
ripgrep,1,1751
ripgrep,2,85
ripgrep,3,90
find-walk,1,110
find-walk,2,95
find-walk,3,94
copy-tree,1,4124
copy-tree,2,3980
copy-tree,3,4026
rm-rf,1,4272
rm-rf,2,2984
rm-rf,3,2947
cpu-sha256,1,3017
cpu-sha256,2,3016
cpu-sha256,3,3023
container-start,1,153
container-start,2,134
container-start,3,143
watch-latency,1,258
watch-latency,2,3
watch-latency,3,2
memory-peak,1,3986
memory-after-15s,1,719
memory-after-60s,1,732
net-tcp-egress,1,91438
net-tcp-egress,2,89926
net-tcp-egress,3,93263
net-tcp-egress-r,1,86127
net-tcp-egress-r,2,85279
net-tcp-egress-r,3,82573
net-tcp-port,1,87000
net-tcp-port,2,79232
net-tcp-port,3,83286
net-tcp-port-r,1,89069
net-tcp-port-r,2,85915
net-tcp-port-r,3,91206
net-udp,1,4662
net-udp,2,3995
net-udp,3,4603
net-connect-rate,1,16440
net-connect-rate,2,16803
net-connect-rate,3,17001
net-http-p99,1,190
net-http-latency,1,68
net-http-p99,2,217
net-http-latency,2,65
net-http-p99,3,173
net-http-latency,3,81
net-dns,1,41
net-dns,2,40
net-dns,3,37
power-cpu-ms-per-s,1,2
power-wakeups-per-s,1,52
power-pkg-idle-wakeups-per-s,1,1
boot-docker,1,527
boot-first-container,1,696
boot-docker,2,526
boot-first-container,2,665
boot-docker,3,535
boot-first-container,3,700
memory-idle,1,376
